prename,Crest,SB,CPPs,Entropy,dEGGmax,Qcontact,postname,Crest,SB,CPPs,Entropy,dEGGmax,Qcontact
GATnat,-21.241187037490207,7.367116975205419,4.586352681741964,5.394623677521374,0.4147450357734957,1.5244981524184535,GATnat,-26.318870490703414,7.803529826724687,5.45174151974717,4.9392141090022506,0.43686187355866446,1.320854269279948
GRAmic,-26.041324122770245,7.781982719958836,4.18084909538979,4.982644118233735,0.4177705245835664,1.3328778555029435,GRAmic,-30.67030940644297,7.886317073963554,4.300499952937808,4.330157671271164,0.42465860330934047,1.1349939749856135
HAUcec,-23.745671851116164,6.141685917330183,4.414133683764723,3.8953900925439013,0.454551214137927,1.1941021885507213,HAUcec,-28.188234766796487,6.716038810133222,5.321591407371983,5.246572735803648,0.4747628525739415,1.1974209699094127
LEFval,-27.869483370421253,6.571814482411512,2.624937485469741,5.711212587824998,0.45617092444826485,1.1681698859040606,LEFval,-30.575818688517895,6.673207449851523,2.365916879916089,4.995090694516444,0.43568170877332674,1.257674869458538
LESgen,-25.99486540391858,7.972182195171689,3.3275171819250846,8.56558193807881,0.40238339101166487,1.2332339629666829,LESgen,-29.93962887381657,7.7126626583355105,3.1428190269152707,8.00306657166557,0.415698007807988,1.2063258642488635
LIPeli,-27.047424905177504,7.087599076422385,4.168595675393705,5.89994402843825,0.45142333701705795,1.4715969174743289,LIPeli,-24.23731398648388,7.540265157839961,5.3508312824255775,5.2869385265042945,0.47734437973904825,1.058802541085189
MAIant,-29.299907147039345,6.942093122771345,4.642810890997265,6.2523836733932985,0.4636776318140025,1.2907044903872567,MAIant,-34.18149036835105,6.635346964101613,5.7538792787543835,4.892054833908303,0.4814687859501687,1.0361924147674175
MARjea,-30.69728990852851,6.645637303152766,5.034993422373629,5.461773184864977,0.4408500355498852,1.6636828875925869,MARjea,-29.08028501145451,6.70814162222422,4.994928792544717,4.784553655968726,0.470744715321165,1.6464000609940102
MASmic,-31.20782395236181,8.003915052456785,3.491023676454799,6.385854524504905,0.41685079142288045,1.2056409169366022,MASmic,-28.895080317943734,7.520674087558297,3.208579511875557,6.951432832144669,0.4238405519076596,1.2197834619612797
MOHnad,-23.5808199778211,10.543063044745846,3.4489216459527614,4.761791543355613,0.426411054697594,1.1948878362050566,MOHnad,-26.591284177197366,10.079535924163778,1.8098493678790812,4.392331948005039,0.4145923314478129,1.2150480543766355
MORcol,-27.991357393284936,8.419494718108902,3.101592034369614,7.224426036939445,0.4087896295428519,1.505699561933416,MORcol,-30.636047443242433,7.073388885765475,4.281511464892386,5.214947530367831,0.43844109934671927,1.1846883178946637
PERcar,-28.261193926001624,7.3022949278715235,1.8767972790618173,8.522586488100083,0.4691059926542433,1.2447194641634622,PERcar,-25.785416276686288,6.412146418585174,1.1557957867183428,7.471204201013747,0.459987923634932,1.6466030226806205
PERmau,-36.20755349452219,7.193691420464062,4.03330756791665,3.1359176592117124,0.4328829534283959,1.4143240160981385,PERmau,-34.60477241731393,6.3781448308617135,4.708294560343126,3.3557566653477124,0.45349546880094327,1.208897516720339
PHIjul,-32.03845250588772,7.734722641736847,4.323200804153917,7.588022346807938,0.41767841108012294,1.3911671683980853,PHIjul,-31.99102660790462,8.015865632901882,4.199884160630552,6.631055920456319,0.4144611246218938,1.4295244917246546
POLmar,-27.58485612670844,8.389121563945713,6.752331736741388,7.636535984039824,0.6072181779751622,1.9793822816830746,POLmar,-26.479388104286247,9.013136053882882,5.423929771374036,6.88084045156109,0.43636700167451764,1.4583875871668623
PUGluc,-25.126462997449973,6.2585601450701365,3.1826761232284446,4.50458166506164,0.38391739965227273,1.010947582666927,PUGluc,-29.614727584094304,7.421703316879352,3.577573105461167,6.701957944791375,0.36006252926422766,1.3293363316745355
REHkar,-26.55202344537305,8.48324881700356,4.444091739092911,5.1622982323450515,0.44110232780163383,1.483384014294422,REHkar,-27.433635803835436,7.900321893211484,4.724741030101561,4.702650816067677,0.4527799767263481,1.359281437421826
RIUpat,-37.18026343356207,7.793624040847435,4.888580766797038,4.921771060432813,0.45325701120953105,1.3498596445999012,RIUpat,-35.55312696592878,7.995634802964007,4.463300716909259,5.556798807364722,0.432714105628174,1.4747128228443982
ROUpat,-32.23972079505368,10.147067852386787,2.7591609283469447,6.463098528394749,0.4322073473704618,1.19915656695365,ROUpat,-29.282606999447594,8.230894765224768,2.996648238878477,5.111541182397141,0.428571032475242,1.0814247876186702
SACmar,-27.49520788773814,7.157582511142946,6.209973337970496,8.39582031039231,0.4662311408031175,1.064644497670275,SACmar,-23.104619326497982,10.480390496563398,4.65877795729226,7.443514936992005,0.4298563408557164,1.863380670670997
SILmar,-33.552465617329084,7.616296707568613,5.276717787307457,5.859488753201242,0.45515817148498605,1.2925342980558907,SILmar,-28.164324351172088,8.462247354132444,4.847891363850094,4.360314577173105,0.4427019057891588,1.3812765008458499
SOUcha,-24.69176822269192,9.214554112209822,5.045735093952083,6.209045022742837,0.5112137215430338,1.3516917785629783,SOUcha,-25.23594774728567,9.638023952401603,5.328121764414863,5.361306316285338,0.5199781746999405,1.1191757039239736
STRdan,-24.265927162788227,7.131545924606887,3.9168859662285946,4.840070440182243,0.455189123349269,1.7423720319278777,STRdan,-22.23023391718773,6.757273860369875,3.4894619706663264,5.405543264361073,0.445168673698774,1.6510400018576634
TRUmic,-29.778364376838052,6.096892439399141,3.827591371471708,5.227704376006396,0.3966562251250154,1.389182137367245,TRUmic,-31.261150789918858,6.043055225260467,4.067709658102162,5.663704265583106,0.3936567733506746,1.249796872861631
VEIcla,-26.939157700384015,7.3023592584233565,4.167195923667593,7.178636660311097,0.40952460567656834,1.4018301058126854,VEIcla,-27.606435861798932,7.837279532979812,5.625537615215576,6.4677592509364255,0.4750279504711027,1.1318800475486421
VIAjea,-27.163145356496365,6.258624975895434,4.060766680735589,4.263023792769121,0.4271437896714418,1.7572238432673783,VIAjea,-28.670799881610666,6.093819215658276,4.598913496009218,5.539954249050346,0.4615680377746645,1.2873732959941167
ZITjos,-26.822763281876945,7.554962874422401,2.3333576543134082,9.92921510182603,0.392114867475567,1.3896949046077323,ZITjos,-26.085631027645316,6.938128113201885,2.505896881326542,8.546682740970002,0.3932887125308133,1.3870471347956093
